Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Palacio de la Condesa de Lebrija,1775608955-10,TripAdvisor,28/09/2025,Precioso,25-Sep,Viajó solo,"Pequeña joya encantadora en Sevilla para la historia - gente interesada. El recorrido por los pisos superiores (que estaba incluido, a diferencia de algunas otras de estas casas) fue corto pero dulce, lo suficientemente informativo y en general una experiencia agradable e interesante.",No especificado,No especificado,No aplica
Setas de Sevilla,1775613772-8,TripAdvisor,7/1/2025,Arquitectura increíble 'Setas',24-Dec,Viajó con amigos,"Nos habían dicho que visitáramos la Plaza Mayor (setas). Qué sorpresa tan agradable, un poco de arquitectura fantástica y en el corazón de la ciudad. Nos sentamos en la zona de Plaza y tomamos unas copas, viendo la puesta de sol. Un lugar maravilloso, con pequeñas tiendas / calles cercanas para los turistas.",Reino Unido,Extranjero,No aplica
Barrio Triana,1775613495-2,TripAdvisor,17/03/2026,Triana wander,26-Mar,Viajó en pareja,"Buena zona para dar un paseo, siempre pasa algo. Pequeño mercado bullicioso que sirve productos frescos. Fácil de navegar, las calles están en una cuadrícula. Agradable paseo fluvial por el lado de la ciudad de puente en puente.",Reino Unido,Extranjero,No aplica
Real Alcázar de Sevilla,1775608760-7,TripAdvisor,15/03/2026,Una experiencia fantástica,26-Mar,No especificado,"Asegúrese de adquirir sus entradas por Internet con tiempo, de lo contrario tendrá que madrugar mucho para hacer cola ante la taquilla y poder visitar esta maravillosa residencia y sus hermosos y cuidados jardines.",No especificado,No especificado,No aplica
Setas de Sevilla,1775609492-2,TripAdvisor,7/1/2026,Buena visión,26-Jan,No especificado,"A reservar, posiblemente al atardecer o en un día con el
Cielo despejado 
Se disfruta de una hermosa
Panorámica de 360 grados
Tiempo por vuelta 30/60
Minutos no más",Italia,Extranjero,No aplica
Catedral de Sevilla,1775612753-1,TripAdvisor,30/07/2025,Impregnado de majestuosidad y simplicidad,25-Jul,Viajó en pareja,"Impregnada de majestuosidad y sencillez, esta impresionante catedral es impresionantemente hermosa. Con docenas de capillas adornadas con pinturas e iconografía religiosa, esta catedral gótica es un reflejo de la brillantez y arquitectura humanas. Con una visita guiada sencilla, pero explicativa, que te lleva por la gran catedral que dejé sintiéndome muy nutrida intelectualmente! Perfecto para todas las edades e intereses.",No especificado,No especificado,No aplica
Barrio Triana,1775613510-9,TripAdvisor,20/04/2025,Bonito ambiente,25-Apr,Viajó en pareja,"Agradable para dar un paseo al otro lado del río, pero todavía cerca del casco antiguo de Sevilla. Un montón de pequeñas tabernas, bares de tapas y un antiguo mercado de alimentos, donde también es posible comer comida local.",Suecia,Extranjero,No aplica
Setas de Sevilla,1775613754-10,TripAdvisor,24/06/2025,SETAS!!!!,25-Jun,Viajó en pareja,"Un lugar que visitar,  aunque sea para refugiarse del sol y sacarse buenas fotos. Una plaza con una arquitectura moderna. Al ladito hay una zona de ocio para refrigerarse.🥵",España,Residente,Cataluña
Plaza de España,1775612307-7,TripAdvisor,6/11/2025,Sevilla es hermosa,25-Sep,Viajó con amigos,"Sevilla tiene un encanto especial, todos los rincones son hermosos mucho que ver mucho que disfrutar, la gente es amable, pero si hay que poner un ""pero"" demasiados turistas, aunque es lógico la ciudad es hermosa la mires por donde la mires.
La plaza España es bonita alegre llena de gente charlando paseando etc lugar muy recomendable y curioso por los bancos de las ciudades del pais.
Volveria sin pensarlo",España,Residente,Cataluña
Catedral de Sevilla,1775612737-2,TripAdvisor,6/11/2025,Hermosa Sevilla,25-Sep,Viajó con amigos,"Todo el mundo habla de la giralda y no digo que no sea hermosa pero a mi me impresionó la belleza de la catedral solo tengo una palabra ESPECTACULAR, me fascino no conocía Sevilla y me impresiono enormemente y muy pero muy satisfactoriamente. 
Me quedo mucho por ver así que seguro vuelvo.",España,Residente,Cataluña
Catedral de Sevilla,1775612762-1,TripAdvisor,4/4/2025,Fascinante catedral.,25-Apr,Viajó en pareja,"Esta es una hermosa catedral con una historia fascinante y compleja. 

Aunque solemos visitar catedrales por nuestra cuenta, esta vez elegimos una visita guiada. 

Fue una buena decisión. 

La catedral fue el punto culminante de nuestra visita a esta hermosa ciudad. 

Recomiendo encarecidamente.",Estados Unidos,Extranjero,No aplica
Plaza de España,1775612339-5,TripAdvisor,7/4/2025,Hermosa zona arruinada por la basura...,25-Apr,Viajó en pareja,"Realmente impresionante, pero decepcionado con tanta basura, especialmente en el lago de navegación. Los propietarios de los barcos podían hacer fácilmente una cucharada diaria.",Reino Unido,Extranjero,No aplica
Setas de Sevilla,1775609460-8,TripAdvisor,9/3/2026,Arquitectura interesante,26-Mar,Viajó en pareja,Interesante estructura arquitectónica con ruinas debajo de la estructura. Bonito paseo por calles estrechas desde Catedral admirando hermosas tiendas de vestidos.,Estados Unidos,Extranjero,No aplica
Isla Mágica,1775652240-5,TripAdvisor,12/8/2025,Ven con monedas…,25-Aug,No especificado,"Están aún en 1992. No se puede pagar ninguno de los extras “guerra de globos, máquinas de bebidas, juegos, etc” con tarjeta y además no disponen de dispensadores de monedas previo pago electrónico. Ridículo en los tiempos que estamos.",No especificado,No especificado,No aplica
Palacio de Las Dueñas,1775613247-6,TripAdvisor,25/02/2025,Sensación curiosa,No especificado,No especificado,"Visita a un palacio en el que saldrás muy satisfecho si entiendes de arte, cultura, naturaleza o historia. Si no es así, te decepcionará, ya que verás muchos muebles juntos y aspecto general algo descuidado.
Yo sí recomiendo su visita, aunque no como imprescindible en Sevilla",No especificado,No especificado,No aplica
Barrio Santa Cruz,1775613457-2,TripAdvisor,9/2/2025,Inolvidable Santa Cruz,25-Feb,Viajó en pareja,"Una muy linda, y pintoresca con sus calles estrechas, y ambiente vibrante. Las tiendas que visité eran muy agradables y los vendedores eran serviciales y amables, pero no agresivo. Me encantó la zona y visitamos cada noche mientras estaba aquí.",Estados Unidos,Extranjero,No aplica
Casa de Pilatos,1775613362-1,TripAdvisor,12/3/2026,Merecen la pena las distracciones,26-Mar,Viajó en pareja,"Magnífico lugar, varias salas preciosas que hay que visitar con un guía, los jardines son espléndidos, los pasillos y los techos suntuosos, que no hay que perderse durante la estancia.",Bélgica,Extranjero,No aplica
Plaza de España,1775612348-1,TripAdvisor,18/03/2025,Amplio y engañoso espacio,25-Mar,Viajó con amigos,"Impresionante, tuvimos suerte ya que estaba bastante vacío cuando fuimos primero, al día siguiente estaba muy ocupado allí, así que lo disfrutamos menos. Tantos aspectos diferentes para ver, me encantó",Reino Unido,Extranjero,No aplica
Torre La Giralda,1775657521-2,TripAdvisor,17/05/2025,Se accede por una rampa (aparte del conjunto final de pasos),25-May,No especificado,"Nunca había visto esto antes, pero en realidad se accede a la torre por 35 niveles de una pasarela en rampa - aparte de un tramo final de escaleras - tan fácil en las rodillas viejas
Las vistas están bien una vez que estás allí arriba 
Me impresionaron más las campanas tbh",Reino Unido,Extranjero,No aplica
Barrio Santa Cruz,1775613449-10,TripAdvisor,17/05/2025,Una de las mejores zonas de Sevilla,25-May,No especificado,"Casco antiguo judío, que recuerda mucho a Córdoba 
Un montón de calles sombreadas para pasear
Algunas tiendas boutique y bares
Lo disfrutamos",Reino Unido,Extranjero,No aplica
Centro Histórico,1775652046-5,TripAdvisor,17/05/2025,Zona muy bonita,25-May,No especificado,"Hermosa plaza rodeada de un montón de historia l, predominantemente la catedral y el Alcázar
Se pone ocupado, pero algunas grandes sesiones de fotos
No hay mucha sombra, por lo que puede hacer mucho calor, pero es fácil retirarse a la sombra de la antigua cercana
Barrio judío (Santa Cruz)",Reino Unido,Extranjero,No aplica
Parque María Luisa,1775612606-3,TripAdvisor,17/05/2025,Muy bonito parque,25-May,No especificado,"Sevilla es sofocante, ¡y aún no es temporada alta! 
Paseamos por el parque para salir del calor después de haber visitado la cercana Plaza España
El parque es muy bonito y bien cuidado, con varias fuentes, etc
Buen lugar para relajarse un poco",Reino Unido,Extranjero,No aplica
Torre La Giralda,1775657521-7,TripAdvisor,18/02/2025,Casi demasiado ocupado,25-Feb,Viajó en pareja,"La torre es impresionante en términos de su diseño y detalles, pero caminar hasta la cima tomó una edad con la gente parando, entonces cuando estás en la cima estaba tan ocupado que tenías que hacer cola para obtener un lugar para tomar una foto. 

Quizás trate de ir primero si realmente desea ir",Reino Unido,Extranjero,No aplica
Isla Mágica,1775652202-10,TripAdvisor,5/10/2025,Patética,25-Oct,No especificado,"Primer punto: cacheos y controles superiores a unas aduanas llegando a tocar bolsas de otros .
Punto segundo: acreditando una enfermedad en la entrada e incluso con un grado de minusvalía y dos enfermos diabéticos nos han prohibido el acceso de comida específica .
Decenas de familias pidiendo hojas de reclamaciones indignadas",España,Residente,Andalucía
Isla Mágica,1775652202-4,TripAdvisor,15/10/2025,Podría mejorar algunas cosas y nosotros como visitantes tambien,25-Oct,Viajó en pareja,"Le doy 4 estrellas por qué me encanta el parque, las atracciones super bien, hay bastante sombra por el parque, tiene zona de fumadores para que las personas que fumamos podamos fumar tranquilos sin estar pendiente de si tenemos niños cerca o no por qué les vaya el humo, los baños entré a primera hora y a última y estaban súper limpios, el personal del parque muy amable, en los pasajes del terror una pasada como trabajan esos actores, chapó por ellos que llevan allí todo el día y llega a ultima hora del día y siguen dándolo todo... Estuvimos el 11/10/25, fuimos de Extremadura, pero si que hubo algunas cosas que se podrían mejorar... 1. El tema de la comida, nos pareció muy caro el precio para la comida que es, dos menús de hamburguesas (las típicas de 2€ del McDonald lo único que con pan brioche) y un cubo de alitas de barbacoa (no sé dónde estaba la BBK) 41€, literal me costó lo mismo la comida que las entradas al parque con el 40% dto.2. Por otro lado, (no es una crítica, es una opinión) en Halloween podrían poner personajes por el parque dando sustos y eso como hay en otros parques.3. Y esto no va para el parque, si no para los padres... Seamos respetuosos con las cosas que tenemos y si vemos que hay un cordel no le digáis a los niños que entren para hacerse una foto, vigilad a los niños que no entren donde está prohibido por qué luego vienen los llantos y las lamentaciones, ese dia 3 niños estuvieron ""jugando"" en la zona acordonada donde está el espectáculo del barco abriendo baúles y demás, y por más que miraba no había ni rastro de los padres de esos niños... Y hablamos que el más mayor podría tener 8 años... Enserio son niños y tienen que explorar y demás pero seamos conscientes y enseñemosles desde pequeños que las normas se tienen que respetar, que educación le estás dando a tu hijo si ves una cuerda por la cual no puede pasar y le dices que pasen y se tumben en el suelo que les vas a hacer una foto? Si no se respetan las normas y las cosas, llegará un momento en el que cada vez hagan menos cosas en el parque y no será culpa del parque, será culpa de las personas que vamos y no respetamos.",No especificado,No especificado,No aplica
Plaza de España,1775612348-6,TripAdvisor,2/3/2025,Aparcamiento en plaza de España,25-Mar,No especificado,"Muy bonita, pero el aparcamiento hay varios hombres pidiendo dinero por aparcar, no se conforman con lo que cada uno le quiera dar, sino que piden muchísimo más. Tened cuidado, gente peligrosa, con mala pinta, parecen sacados de una mafia.",No especificado,No especificado,No aplica
Plaza de España,1775612348-4,TripAdvisor,11/3/2025,Impresionante arquitectura,25-Mar,Viajó en pareja,"Construida para la exposición de 1928 (pero no me cites en eso) esta plaza es simplemente impresionante, es absolutamente impresionante. Visitamos en marzo y estaba bastante ocupado, así que supongo que en el verano este lugar será embestido. Simplemente es hermoso y bien vale la pena una visita si estás en Sevilla.",Reino Unido,Extranjero,No aplica
Catedral de Sevilla,1775612762-6,TripAdvisor,12/3/2025,"Muy ocupado, muy hermoso",25-Mar,Viajó en pareja,"En una reciente visita (marzo de 2025 ) a Sevilla un recorrido por la catedral formó parte de nuestro recorrido. Las catedrales no son lo mío pero Dios mío esta es una correa y es la tercera más grande del mundo. Lo más destacado para mí fue la tumba de Cristóbal Colón. Una mezcla de arquitectura gótica y morisca, es simplemente impresionante si las iglesias son lo tuyo. Estuvimos allí en marzo y estaba muy ocupado, así que agárrense los sombreros si van a visitarnos en verano!",Reino Unido,Extranjero,No aplica
Real Alcázar de Sevilla,1775608734-4,TripAdvisor,29/03/2026,"Las entradas en el día son posibles, pero se recomienda reservar previamente!",26-Mar,No especificado,"Visitamos el hermoso Alcázar en marzo de 2026 - por desgracia sin reservar billetes en línea con antelación (mala planificación! ). Sin embargo, no pierdas la esperanza si ya estás en Sevilla y las entradas en línea están agotadas - todavía hay una oportunidad para visitar el hermoso palacio y jardines. Puede hacer cola en el Patio de Banderas para las entradas de un día, pero debe llegar temprano (alrededor de las 6 . 30 - 7 am) para asegurarte un boleto, junto con un formulario de identificación. La taquilla abre a las 9 de la mañana pero conseguimos entradas para entrar a las 10 . 30 AM haciendo cola el día. 

Sin duda recomendaría pre-reserva si es posible, pero solo quería dejar que otros sepan que todavía hay una posibilidad de visitar incluso si no has planeado con antelación!",No especificado,No especificado,No aplica
